listing_id,sqft,age_years,bedrooms,location_tier,sale_price
H00644,517.0,14,1,prime,208866.0
H00645,2581.0,45,4,suburb,431636.0
H00646,1447.0,33,1,midtown,297463.0
H00647,1541.0,0,2,prime,445644.0
H00648,2650.0,30,3,midtown,499269.0
H00649,945.0,24,2,midtown,211496.0
H00650,2238.0,0,3,suburb,408824.0
H00651,1312.0,14,2,suburb,278383.0
H00652,737.0,56,1,midtown,164996.0
H00653,2341.0,42,4,suburb,423087.0
H00654,1326.0,4,2,suburb,280639.0
H00655,2833.0,0,4,prime,759703.0
H00656,2977.0,20,3,suburb,514712.0
H00657,2785.0,27,4,suburb,494846.0
H00658,1336.0,27,2,suburb,262044.0
H00659,1101.0,41,2,midtown,212411.0
H00660,2905.0,10,4,suburb,506030.0
H00661,1696.0,2,3,midtown,372551.0
H00662,2396.0,40,3,midtown,488509.0
H00663,2725.0,53,3,suburb,473156.0
H00664,1214.0,10,1,suburb,199935.0
H00665,778.0,21,2,suburb,206007.0
H00666,2168.0,37,4,midtown,449026.0
H00667,2073.0,9,4,suburb,418718.0
H00668,1193.0,51,1,suburb,208209.0
H00669,2058.0,13,2,suburb,396629.0
H00670,2623.0,31,3,suburb,452280.0
H00671,1413.0,20,2,midtown,286897.0
H00672,1116.0,40,1,suburb,195972.0
H00673,2444.0,11,3,prime,647926.0
H00674,2611.0,5,3,suburb,466229.0
H00675,3074.0,30,4,midtown,617628.0
H00676,856.0,51,1,midtown,171547.0
H00677,2895.0,37,5,suburb,495825.0
H00678,2554.0,45,3,midtown,470161.0
H00679,2380.0,26,4,prime,616060.0
H00680,1311.0,8,3,midtown,324394.0
H00681,511.0,25,1,prime,143950.0
H00682,1846.0,59,2,midtown,329275.0
H00683,1236.0,46,2,suburb,185860.0
H00684,1247.0,42,1,prime,300666.0
H00685,3000.0,18,4,suburb,548298.0
H00686,871.0,35,1,midtown,170408.0
H00687,3019.0,37,3,midtown,588203.0
H00688,1835.0,39,3,prime,525491.0
H00689,2755.0,53,3,prime,675494.0
H00690,1230.0,40,2,suburb,228734.0
H00691,2193.0,13,4,midtown,491927.0
H00692,1981.0,13,4,suburb,358835.0
H00693,2991.0,37,4,midtown,556409.0
H00694,943.0,51,2,midtown,201589.0
H00695,1013.0,56,2,suburb,187597.0
H00696,3060.0,36,4,midtown,616836.0
H00697,719.0,31,1,suburb,138176.0
H00698,2195.0,48,4,midtown,444080.0
H00699,617.0,58,1,prime,161204.0
