customer_id,tenure_months,monthly_charge,support_calls,contract_type,churned
C00733,55,92.78,6,one-year,0
C00734,15,117.67,1,two-year,1
C00735,48,51.83,1,one-year,0
C00736,52,66.12,1,two-year,0
C00737,24,62.48,1,month-to-month,0
C00738,53,25.14,2,month-to-month,1
C00739,64,87.23,4,one-year,0
C00740,59,55.33,1,month-to-month,1
C00741,55,98.75,0,two-year,1
C00742,46,103.21,6,one-year,1
C00743,20,102.12,0,two-year,1
C00744,57,61.67,2,month-to-month,0
C00745,26,52.15,0,month-to-month,0
C00746,38,94.88,2,one-year,1
C00747,23,100.14,0,month-to-month,0
C00748,23,69.13,2,one-year,0
C00749,12,109.3,4,one-year,1
C00750,69,34.39,1,two-year,0
C00751,11,107.91,0,one-year,0
C00752,7,29.61,4,month-to-month,1
C00753,67,35.35,3,month-to-month,0
C00754,40,73.38,3,one-year,0
C00755,32,26.75,1,month-to-month,1
C00756,53,25.28,3,month-to-month,1
C00757,28,20.05,2,month-to-month,0
C00758,10,63.63,5,month-to-month,1
C00759,52,97.46,5,one-year,0
C00760,13,23.48,1,month-to-month,1
C00761,40,85.23,1,one-year,1
C00762,68,102.31,2,month-to-month,1
C00763,67,36.8,5,one-year,1
C00764,26,34.69,1,month-to-month,1
C00765,56,106.08,3,two-year,0
C00766,44,102.31,4,month-to-month,1
C00767,35,73.89,5,one-year,0
C00768,10,101.92,4,month-to-month,1
C00769,27,29.28,2,month-to-month,1
C00770,47,59.45,0,month-to-month,0
C00771,71,93.78,1,two-year,1
C00772,1,45.75,1,two-year,0
C00773,51,95.23,0,month-to-month,1
C00774,61,70.42,1,month-to-month,0
C00775,68,95.03,2,one-year,0
C00776,31,66.47,1,one-year,0
C00777,9,56.79,3,month-to-month,1
C00778,20,41.92,1,one-year,0
C00779,61,40.84,3,one-year,1
C00780,63,95.15,4,one-year,0
C00781,46,31.89,2,month-to-month,0
C00782,9,28.6,4,month-to-month,0
C00783,9,37.63,3,month-to-month,1
C00784,34,37.53,3,one-year,0
C00785,42,102.31,1,month-to-month,0
C00786,3,59.85,2,one-year,0
C00787,49,119.04,2,one-year,1
C00788,39,33.72,1,one-year,0
C00789,1,85.35,5,month-to-month,1
C00790,7,64.87,3,month-to-month,1
C00791,33,59.29,3,month-to-month,1
C00792,52,107.51,0,one-year,1
C00793,59,117.56,5,two-year,1
C00794,31,107.29,0,month-to-month,0
C00795,21,39.23,1,two-year,1
C00796,69,42.08,1,month-to-month,1
C00797,33,85.61,1,month-to-month,1
C00798,23,48.91,1,month-to-month,1
C00799,32,93.47,2,one-year,0
